relId,award,year,pos,playerId
8,Coach of the Year,2010,Coach,aglerbr99w
33,WNBA Finals Most Valuable Player,2011,G-F,augusse01w
67,WNBA All-Decade Team,2006,G,birdsu01w
68,Kim Perrot Sportsmanship,2011,G,birdsu01w
84,WNBA All Decade Team Honorable Mention,2006,G,boltoru01w
88,Sixth Woman of the Year,2010,G-F,bonnede01w
89,Sixth Woman of the Year,2011,F,bonnede01w
150,WNBA All-Decade Team,2006,F,catchta01w
151,Defensive Player of the Year,2010,F,catchta01w
152,Kim Perrot Sportsmanship,2010,F,catchta01w
153,Most Valuable Player,2011,F,catchta01w
154,WNBA Finals Most Valuable Player,2012,F,catchta01w
155,Defensive Player of the Year,2012,F,catchta01w
166,Rookie of the Year,2010,C,charlti01w
167,Peak Performer: Rebounds,2010,C,charlti01w
168,Peak Performer: Rebounds,2011,C,charlti01w
169,Most Valuable Player,2012,C,charlti01w
170,Peak Performer: Rebounds,2012,C,charlti01w
203,WNBA All-Decade Team,2006,G,coopecy01w
286,Defensive Player of the Year,2011,C,fowlesy01w
340,WNBA All-Decade Team,2006,C,griffyo01w
388,WNBA All Decade Team Honorable Mention,2006,F,holdsch01w
416,WNBA All-Decade Team,2006,C,jacksla01w
417,Most Valuable Player,2010,F,jacksla01w
418,WNBA Finals Most Valuable Player,2010,F,jacksla01w
491,Kim Perrot Sportsmanship,2012,G,lawsoka01w
507,WNBA All-Decade Team,2006,C,leslili01w
564,Peak Performer: Points,2012,G-F,mccouan01w
584,Most Improved Player,2010,G,mitchle01w
592,Sixth Woman of the Year,2012,G,montgre01w
596,Rookie of the Year,2011,F,moorema01w
632,Rookie of the Year,2012,F,ogwumnn01w
658,WNBA All Decade Team Honorable Mention,2006,G,penicti01w
659,Peak Performer: Assists,2010,G,penicti01w
713,Kim Perrot Sportsmanship,2011,C,rileyru01w
777,WNBA All-Decade Team,2006,F,smithka01w
792,WNBA All-Decade Team,2006,G,staleda01w
823,WNBA All-Decade Team,2006,F,swoopsh01w
831,WNBA All Decade Team Honorable Mention,2006,G,tauradi01w
832,Peak Performer: Points,2010,G-F,tauradi01w
833,Peak Performer: Points,2011,G-F,tauradi01w
855,WNBA All-Decade Team,2006,F,thompti01w
862,Most Improved Player,2012,G,tolivkr01w
881,Most Improved Player,2011,C,vaughki01w
905,WNBA All Decade Team Honorable Mention,2006,G,weathte01w
911,Peak Performer: Assists,2011,G,whaleli01w
912,Peak Performer: Assists,2012,G,whaleli01w
